
[19-Aug-2026 19:31:23] run11 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=461.6s
[19-Aug-2026 19:35:09] run11 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=687.8s
[19-Aug-2026 19:39:12] run11 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=930.3s
[19-Aug-2026 19:43:41] run11 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1199.3s
[19-Aug-2026 19:47:14] run11 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1412.6s
[19-Aug-2026 19:51:46] run11 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1684.8s
[19-Aug-2026 19:56:25] run11 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1963.2s
[19-Aug-2026 20:01:32] run11 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2270.0s
[19-Aug-2026 20:06:34] run11 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2572.4s
[19-Aug-2026 20:11:19] run11 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2857.4s
[19-Aug-2026 20:16:51] run11 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3189.6s
[19-Aug-2026 20:21:36] run11 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3473.9s
[19-Aug-2026 20:27:20] run11 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3818.6s
[19-Aug-2026 20:32:33] run11 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4130.9s
[19-Aug-2026 20:32:33] run11 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4130.9s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run11_CAMPAIGN.mat
[19-Aug-2026 20:37:43] run12 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=310.9s
[19-Aug-2026 20:43:25] run12 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=652.4s
